Date,Time,Time2,Memory Used
10/30/2020,10:45:30,AM,48.2839
10/30/2020,10:42:30,AM,48.0308
10/30/2020,10:39:30,AM,47.9965
10/30/2020,10:36:30,AM,47.9879
10/30/2020,10:33:30,AM,47.6148
10/30/2020,10:30:30,AM,47.65
10/30/2020,10:27:30,AM,47.6
10/30/2020,10:24:30,AM,47.5692
10/30/2020,10:21:30,AM,47.963
10/30/2020,10:18:30,AM,47.584
10/30/2020,10:15:30,AM,47.8009
10/30/2020,10:12:30,AM,47.6131
10/30/2020,10:09:30,AM,47.8177
10/30/2020,10:06:30,AM,47.2778
10/30/2020,10:03:30,AM,47.1294
10/30/2020,10:00:30,AM,47.5771
10/30/2020,09:57:30,AM,47.2793
10/30/2020,09:54:30,AM,47.0769
10/30/2020,09:51:30,AM,47.0282
10/30/2020,09:48:30,AM,47.1144
10/30/2020,09:45:30,AM,47.1393
10/30/2020,09:42:30,AM,46.9667
10/30/2020,09:39:30,AM,47.2798
10/30/2020,09:36:30,AM,47.3191
10/30/2020,09:33:30,AM,47.1888
10/30/2020,09:30:30,AM,47.3758
10/30/2020,09:27:30,AM,47.4433
10/30/2020,09:24:31,AM,47.3137
10/30/2020,09:21:30,AM,47.511
10/30/2020,09:18:30,AM,47.2807
10/30/2020,09:15:30,AM,47.3628
10/30/2020,09:12:30,AM,47.3784
10/30/2020,09:09:30,AM,47.2236
10/30/2020,09:06:31,AM,47.4342
10/30/2020,09:03:30,AM,47.6052
10/30/2020,09:00:30,AM,47.8176
10/30/2020,08:57:30,AM,47.3094
10/30/2020,08:54:30,AM,46.932
10/30/2020,08:51:30,AM,47.0687
10/30/2020,08:48:30,AM,46.098
10/30/2020,08:45:30,AM,47.4723
10/30/2020,08:42:30,AM,47.5444
10/30/2020,08:39:30,AM,45.6856
10/30/2020,08:36:30,AM,45.6431
10/30/2020,08:33:30,AM,45.5862
10/30/2020,08:30:30,AM,45.5017
10/30/2020,08:27:30,AM,45.3487
10/30/2020,08:24:30,AM,45.0734
10/30/2020,08:21:30,AM,44.7046
10/30/2020,08:18:30,AM,45.0573
10/30/2020,08:15:30,AM,43.4445
10/30/2020,08:12:30,AM,43.5748
10/30/2020,08:09:30,AM,43.2567
10/30/2020,08:06:30,AM,43.3718
10/30/2020,08:03:30,AM,43.4605
10/30/2020,08:00:30,AM,43.4641
10/30/2020,07:57:30,AM,44.0461
10/30/2020,07:54:30,AM,44.3019
10/30/2020,07:51:30,AM,44.6637
10/30/2020,07:48:30,AM,44.5036
10/30/2020,07:45:30,AM,44.4793
10/30/2020,07:42:30,AM,44.5179
10/30/2020,07:39:30,AM,44.1279
10/30/2020,07:36:30,AM,44.2562
10/30/2020,07:33:30,AM,44.1218
10/30/2020,07:30:30,AM,45.0883
10/30/2020,07:27:30,AM,45.0043
10/30/2020,07:24:30,AM,44.9869
10/30/2020,07:21:30,AM,44.749
10/30/2020,07:18:30,AM,44.6307
10/30/2020,07:15:30,AM,43.774
10/30/2020,07:12:30,AM,42.2576
10/30/2020,07:09:30,AM,41.806
10/30/2020,07:06:30,AM,41.8002
10/30/2020,07:03:30,AM,41.8691
10/30/2020,07:00:30,AM,41.699
10/30/2020,06:57:30,AM,41.5554
10/30/2020,06:54:30,AM,41.7652
10/30/2020,06:51:30,AM,41.6898
10/30/2020,06:48:30,AM,41.5009
10/30/2020,06:45:30,AM,44.9925
10/30/2020,06:42:30,AM,47.8252
10/30/2020,06:39:30,AM,47.8001
10/30/2020,06:36:30,AM,47.9016
10/30/2020,06:33:30,AM,47.5326
10/30/2020,06:30:30,AM,47.3255
10/30/2020,06:27:30,AM,47.2076
10/30/2020,06:24:30,AM,47.2301
10/30/2020,06:21:30,AM,47.1683
10/30/2020,06:18:30,AM,47.1993
10/30/2020,06:15:30,AM,47.913
10/30/2020,06:12:30,AM,47.9793
10/30/2020,06:09:30,AM,47.9039
10/30/2020,06:06:30,AM,48.0042
10/30/2020,06:03:30,AM,47.9856
10/30/2020,06:00:30,AM,47.9764
10/30/2020,05:57:30,AM,48.2231
10/30/2020,05:54:30,AM,48.2417
10/30/2020,05:51:30,AM,48.2943
10/30/2020,05:48:30,AM,48.0835
10/30/2020,05:45:30,AM,48.3244
10/30/2020,05:42:30,AM,48.1559
10/30/2020,05:39:31,AM,49.0473
10/30/2020,05:36:30,AM,49.1299
10/30/2020,05:33:30,AM,48.9948
10/30/2020,05:30:30,AM,49.0787
10/30/2020,05:27:30,AM,49.0508
10/30/2020,05:24:30,AM,49.4876
10/30/2020,05:21:30,AM,49.6904
10/30/2020,05:18:30,AM,49.0267
10/30/2020,05:15:30,AM,49.0926
10/30/2020,05:12:30,AM,48.9695
10/30/2020,05:09:30,AM,48.842
10/30/2020,05:06:30,AM,48.6674
10/30/2020,05:03:30,AM,48.4431
10/30/2020,05:00:30,AM,49.176
10/30/2020,04:57:30,AM,48.6957
10/30/2020,04:54:30,AM,49.0063
10/30/2020,04:51:30,AM,48.8406
10/30/2020,04:48:30,AM,48.6715
10/30/2020,04:45:30,AM,48.7004
10/30/2020,04:42:30,AM,50.0977
10/30/2020,04:39:31,AM,49.4723
10/30/2020,04:36:30,AM,49.7231
10/30/2020,04:33:30,AM,50.1034
10/30/2020,04:30:30,AM,50.1969
10/30/2020,04:27:30,AM,50.1298
10/30/2020,04:24:30,AM,50.0061
10/30/2020,04:21:30,AM,50.2028
10/30/2020,04:18:30,AM,49.9936
10/30/2020,04:15:30,AM,50.0071
10/30/2020,04:12:30,AM,50.0607
10/30/2020,04:09:30,AM,49.8853
10/30/2020,04:06:30,AM,49.9261
10/30/2020,04:03:30,AM,50.1132
10/30/2020,04:00:30,AM,50.4479
10/30/2020,03:57:30,AM,50.1974
10/30/2020,03:54:30,AM,51.0458
10/30/2020,03:51:30,AM,51.1237
10/30/2020,03:48:30,AM,50.9543
10/30/2020,03:45:30,AM,52.0434
10/30/2020,03:42:30,AM,51.4917
10/30/2020,03:39:30,AM,50.0037
10/30/2020,03:36:30,AM,49.638
10/30/2020,03:33:30,AM,49.8516
10/30/2020,03:30:30,AM,49.6295
10/30/2020,03:27:30,AM,49.1604
10/30/2020,03:24:30,AM,49.0234
10/30/2020,03:21:30,AM,48.9895
10/30/2020,03:18:30,AM,49.3358
10/30/2020,03:15:30,AM,49.4029
10/30/2020,03:12:30,AM,49.2953
10/30/2020,03:09:30,AM,48.9858
10/30/2020,03:06:30,AM,49.0148
10/30/2020,03:03:30,AM,48.6606
10/30/2020,03:00:30,AM,48.4449
10/30/2020,02:57:30,AM,48.7273
10/30/2020,02:54:30,AM,48.4322
10/30/2020,02:51:30,AM,48.3938
10/30/2020,02:48:30,AM,48.0292
10/30/2020,02:45:30,AM,47.773
10/30/2020,02:42:30,AM,47.9532
10/30/2020,02:39:30,AM,47.9339
10/30/2020,02:36:30,AM,47.9343
10/30/2020,02:33:30,AM,47.7281
10/30/2020,02:30:30,AM,48.5033
10/30/2020,02:27:30,AM,48.0991
10/30/2020,02:24:30,AM,47.8506
10/30/2020,02:21:30,AM,47.945
10/30/2020,02:18:30,AM,47.8022
10/30/2020,02:15:30,AM,48.0004
10/30/2020,02:12:30,AM,47.8875
10/30/2020,02:09:30,AM,47.7447
10/30/2020,02:06:30,AM,48.3131
10/30/2020,02:03:30,AM,48.4105
10/30/2020,02:00:30,AM,48.3305
10/30/2020,01:57:30,AM,48.3272
10/30/2020,01:54:30,AM,48.1482
10/30/2020,01:51:30,AM,48.4709
10/30/2020,01:48:30,AM,48.4518
10/30/2020,01:45:30,AM,48.421
10/30/2020,01:42:30,AM,47.971
10/30/2020,01:39:30,AM,48.0957
10/30/2020,01:36:30,AM,47.5399
10/30/2020,01:33:30,AM,47.5796
10/30/2020,01:30:30,AM,46.2784
10/30/2020,01:27:30,AM,46.3028
10/30/2020,01:24:30,AM,46.1087
10/30/2020,01:21:30,AM,46.3997
10/30/2020,01:18:30,AM,46.2333
10/30/2020,01:15:30,AM,45.9024
10/30/2020,01:12:30,AM,46.9708
10/30/2020,01:09:30,AM,46.7323
10/30/2020,01:06:30,AM,47.4448
10/30/2020,01:03:30,AM,47.1384
10/30/2020,01:00:30,AM,47.3039
10/30/2020,12:57:30,AM,47.2388
10/30/2020,12:54:30,AM,47.0632
10/30/2020,12:51:30,AM,47.3763
10/30/2020,12:48:30,AM,47.3048
10/30/2020,12:45:30,AM,47.4268
10/30/2020,12:42:30,AM,47.3696
10/30/2020,12:39:30,AM,47.1977
10/30/2020,12:36:30,AM,47.1622
10/30/2020,12:33:30,AM,47.7342
10/30/2020,12:30:30,AM,47.4817
10/30/2020,12:27:30,AM,47.4451
10/30/2020,12:24:31,AM,47.3431
10/30/2020,12:21:30,AM,47.2796
10/30/2020,12:18:30,AM,47.3734
10/30/2020,12:15:30,AM,46.5617
10/30/2020,12:12:30,AM,46.6558
10/30/2020,12:09:30,AM,46.5861
10/30/2020,12:06:30,AM,46.6008
10/30/2020,12:03:30,AM,46.5026
10/30/2020,12:00:30,AM,46.2087
10/29/2020,11:57:30,PM,47.0205
10/29/2020,11:54:30,PM,46.6976
10/29/2020,11:51:30,PM,46.1093
10/29/2020,11:48:30,PM,46.2627
10/29/2020,11:45:30,PM,45.897
10/29/2020,11:42:30,PM,45.9253
10/29/2020,11:39:30,PM,45.8538
10/29/2020,11:36:30,PM,45.8745
10/29/2020,11:33:30,PM,45.8915
10/29/2020,11:30:30,PM,45.9918
10/29/2020,11:27:30,PM,46.1183
10/29/2020,11:24:30,PM,46.1344
10/29/2020,11:21:30,PM,46.2665
10/29/2020,11:18:30,PM,46.2621
10/29/2020,11:15:30,PM,45.985
10/29/2020,11:12:30,PM,45.8307
10/29/2020,11:09:30,PM,45.4217
10/29/2020,11:06:30,PM,45.1205
10/29/2020,11:03:30,PM,45.4042
10/29/2020,11:00:30,PM,45.0393
10/29/2020,10:57:30,PM,45.1819
10/29/2020,10:54:30,PM,45.3549
10/29/2020,10:51:30,PM,45.1429
10/29/2020,10:48:30,PM,45.2442
10/29/2020,10:45:30,PM,45.2321
10/29/2020,10:42:30,PM,45.9076
