Date,time,Allocate memory,%used
2020/10/31,11:54:45,1604116485,31.2752
2020/10/31,11:51:45,1604116305,37.6223
2020/10/31,11:48:45,1604116125,31.2575
2020/10/31,11:45:45,1604115945,41.1286
2020/10/31,11:42:45,1604115765,34.3258
2020/10/31,11:39:45,1604115585,34.4065
2020/10/31,11:36:45,1604115405,34.2783
2020/10/31,11:33:45,1604115225,34.8458
2020/10/31,11:30:45,1604115045,34.3038
2020/10/31,11:27:45,1604114865,34.3347
2020/10/31,11:24:46,1604114686,34.4799
2020/10/31,11:21:45,1604114505,34.228
2020/10/31,11:18:45,1604114325,31.2462
2020/10/31,11:15:45,1604114145,61.3674
2020/10/31,11:12:45,1604113965,50.1039
2020/10/31,11:09:45,1604113785,37.3031
2020/10/31,11:06:46,1604113606,34.2555
2020/10/31,11:03:45,1604113425,34.241
2020/10/31,11:00:45,1604113245,29.3754
2020/10/31,10:57:45,1604113065,29.319
2020/10/31,10:54:45,1604112885,29.7218
2020/10/31,10:51:45,1604112705,32.2709
2020/10/31,10:48:45,1604112525,28.2073
2020/10/31,10:45:45,1604112345,28.991
2020/10/31,10:42:45,1604112165,31.1822
2020/10/31,10:39:45,1604111985,31.1674
2020/10/31,10:36:45,1604111805,31.177
2020/10/31,10:33:45,1604111625,31.2356
2020/10/31,10:30:45,1604111445,31.1989
2020/10/31,10:27:45,1604111265,31.2892
2020/10/31,10:24:45,1604111085,31.3028
2020/10/31,10:21:45,1604110905,31.7249
2020/10/31,10:18:45,1604110725,31.7997
2020/10/31,10:15:45,1604110545,28.2625
2020/10/31,10:12:45,1604110365,28.998
2020/10/31,10:09:45,1604110185,33.1813
2020/10/31,10:06:45,1604110005,32.1619
2020/10/31,10:03:45,1604109825,32.1143
2020/10/31,10:00:46,1604109646,32.1322
2020/10/31,09:57:45,1604109465,32.0653
2020/10/31,09:54:45,1604109285,31.9981
2020/10/31,09:51:45,1604109105,28.9328
2020/10/31,09:48:45,1604108925,29.0431
2020/10/31,09:45:45,1604108745,34.3617
2020/10/31,09:42:45,1604108565,29.4939
2020/10/31,09:39:45,1604108385,29.4003
2020/10/31,09:36:45,1604108205,29.3953
2020/10/31,09:33:45,1604108025,30.5383
2020/10/31,09:30:45,1604107845,30.3774
2020/10/31,09:27:45,1604107665,30.351
2020/10/31,09:24:45,1604107485,34.034
2020/10/31,09:21:45,1604107305,33.8113
2020/10/31,09:18:45,1604107125,30.6203
2020/10/31,09:15:45,1604106945,30.1119
2020/10/31,09:12:45,1604106765,30.4759
2020/10/31,09:09:45,1604106585,29.0522
2020/10/31,09:06:45,1604106405,29.1786
2020/10/31,09:03:45,1604106225,32.3617
2020/10/31,09:00:45,1604106045,35.562
2020/10/31,08:57:45,1604105865,28.6771
2020/10/31,08:54:45,1604105685,28.5695
2020/10/31,08:51:45,1604105505,29.0807
2020/10/31,08:48:45,1604105325,28.7161
2020/10/31,08:45:45,1604105145,60.9358
2020/10/31,08:42:45,1604104965,28.385
2020/10/31,08:39:45,1604104785,28.8079
2020/10/31,08:36:45,1604104605,28.2171
2020/10/31,08:33:45,1604104425,28.6998
2020/10/31,08:30:45,1604104245,28.6569
2020/10/31,08:27:45,1604104065,28.5613
2020/10/31,08:24:45,1604103885,33.8654
2020/10/31,08:21:45,1604103705,37.765
2020/10/31,08:18:45,1604103525,28.1502
2020/10/31,08:15:45,1604103345,30.7973
2020/10/31,08:12:45,1604103165,28.2289
2020/10/31,08:09:45,1604102985,27.9139
2020/10/31,08:06:45,1604102805,28.8065
2020/10/31,08:03:45,1604102625,71.0091
2020/10/31,08:00:45,1604102445,71.3656
2020/10/31,07:57:45,1604102265,71.0881
